customer_id,age,revenue,country,plan,signup_date
C0001,54,1345.03,Germany,Enterprise,2025-01-01
C0002,61,1551.16,Germany,Enterprise,2025-02-02
C0003,81,1456.48,Germany,Enterprise,2025-03-03
C0004,48,1468.66,Germany,Enterprise,2025-04-04
C0005,48,2310.25,Germany,Enterprise,2025-05-05
C0006,81,2055.13,Germany,Enterprise,2025-06-06
C0007,64,2756.98,US,Enterprise,2025-07-07
C0008,74,1912.45,Germany,Enterprise,2025-08-08
C0009,68,1483.99,Germany,Enterprise,2025-09-09
C0010,69,2825.5,Germany,Enterprise,2025-10-10
C0011,49,2613.52,Germany,Enterprise,2025-11-11
C0012,71,1441.84,Germany,Enterprise,2025-12-12
C0013,70,2339.23,Germany,Enterprise,2025-01-13
C0014,49,2490.28,Germany,Enterprise,2025-02-14
C0015,61,2859.67,Germany,Enterprise,2025-03-15
C0016,76,2444.23,Germany,Enterprise,2025-04-16
C0017,70,1939.48,Germany,Pro,2025-05-17
C0018,51,2396.44,Germany,Enterprise,2025-06-18
C0019,62,1594.12,Germany,Enterprise,2025-07-19
C0020,82,1695.31,Germany,Enterprise,2025-08-20
C0021,61,2779.24,US,Enterprise,2025-09-21
C0022,64,1419.13,Germany,Enterprise,2025-10-22
C0023,67,1682.74,Germany,Enterprise,2025-11-23
C0024,76,1557.16,US,Enterprise,2025-12-24
C0025,82,2270.17,US,Enterprise,2025-01-25
C0026,74,2916.07,Germany,Pro,2025-02-26
C0027,61,3095.2,Germany,Enterprise,2025-03-27
C0028,78,1463.65,Germany,Enterprise,2025-04-01
C0029,56,2429.41,Germany,Enterprise,2025-05-02
C0030,51,1992.58,US,Enterprise,2025-06-03
C0031,80,1752.55,US,Enterprise,2025-07-04
C0032,54,2527.09,Germany,Enterprise,2025-08-05
C0033,68,1500.79,Germany,Enterprise,2025-09-06
C0034,76,1305.85,US,Enterprise,2025-10-07
C0035,63,3049.39,US,Enterprise,2025-11-08
C0036,53,2866.93,Germany,Enterprise,2025-12-09
C0037,79,2396.14,Germany,Enterprise,2025-01-10
C0038,57,2270.89,Germany,Enterprise,2025-02-11
C0039,67,2179.48,US,Pro,2025-03-12
C0040,66,1731.01,Germany,Enterprise,2025-04-13
C0041,52,1454.17,Germany,Enterprise,2025-05-14
C0042,81,2678.5,Germany,Enterprise,2025-06-15
C0043,77,3004.33,Germany,Enterprise,2025-07-16
C0044,80,2870.38,Germany,Pro,2025-08-17
C0045,81,2659.48,Germany,Enterprise,2025-09-18
C0046,66,2018.2,Germany,Enterprise,2025-10-19
C0047,70,2088.58,Germany,Pro,2025-11-20
C0048,54,1746.22,Germany,Enterprise,2025-12-21
C0049,48,2358.97,Germany,Enterprise,2025-01-22
C0050,61,1312.93,Germany,Enterprise,2025-02-23
C0051,50,1712.11,Germany,Enterprise,2025-03-24
C0052,51,2225.47,Germany,Enterprise,2025-04-25
C0053,78,1685.62,Germany,Enterprise,2025-05-26
C0054,83,2337.19,US,Enterprise,2025-06-27
C0055,73,1642.75,Germany,Enterprise,2025-07-01
C0056,74,1937.74,US,Enterprise,2025-08-02
C0057,50,2512.06,US,Enterprise,2025-09-03
C0058,50,2024.71,Germany,Enterprise,2025-10-04
C0059,62,1644.85,Germany,Enterprise,2025-11-05
C0060,55,2059.39,Germany,Enterprise,2025-12-06
C0061,62,2874.07,US,Enterprise,2025-01-07
C0062,82,1476.25,US,Enterprise,2025-02-08
C0063,47,3044.2,Germany,Pro,2025-03-09
C0064,73,2174.14,Germany,Enterprise,2025-04-10
C0065,50,1596.34,Germany,Enterprise,2025-05-11
C0066,63,2967.73,Germany,Enterprise,2025-06-12
C0067,74,2553.85,US,Enterprise,2025-07-13
C0068,78,1578.64,Germany,Enterprise,2025-08-14
C0069,50,2342.53,Germany,Enterprise,2025-09-15
C0070,67,1402.9,US,Enterprise,2025-10-16
C0071,79,2954.89,Germany,Enterprise,2025-11-17
C0072,50,3029.41,US,Enterprise,2025-12-18
C0073,51,2371.06,US,Enterprise,2025-01-19
C0074,72,1515.79,Germany,Enterprise,2025-02-20
C0075,49,2414.89,Germany,Enterprise,2025-03-21
C0076,83,2241.01,Germany,Pro,2025-04-22
C0077,67,1729.63,US,Pro,2025-05-23
C0078,66,2122.99,Germany,Enterprise,2025-06-24
C0079,76,2418.1,Germany,Enterprise,2025-07-25
