customer_id,age,revenue,country,plan,signup_date
C0001,29,115.01,UK,Basic,2025-01-01
C0002,36,183.72,India,Pro,2025-02-02
C0003,56,152.16,UK,Basic,2025-03-03
C0004,23,156.22,India,Pro,2025-04-04
C0005,23,436.75,US,Pro,2025-05-05
C0006,56,351.71,UK,Pro,2025-06-06
C0007,39,585.66,India,Basic,2025-07-07
C0008,49,304.15,India,Basic,2025-08-08
C0009,43,161.33,UK,Basic,2025-09-09
C0010,44,608.5,US,Basic,2025-10-10
C0011,24,537.84,US,Basic,2025-11-11
C0012,46,147.28,UK,Pro,2025-12-12
C0013,45,446.41,US,Basic,2025-01-13
C0014,24,496.76,UK,Basic,2025-02-14
C0015,36,619.89,UK,Basic,2025-03-15
C0016,51,481.41,UK,Basic,2025-04-16
C0017,45,313.16,US,Basic,2025-05-17
C0018,26,465.48,India,Pro,2025-06-18
C0019,37,198.04,UK,Basic,2025-07-19
C0020,57,231.77,UK,Basic,2025-08-20
C0021,36,593.08,UK,Basic,2025-09-21
C0022,39,139.71,US,Pro,2025-10-22
C0023,42,227.58,UK,Basic,2025-11-23
C0024,51,185.72,India,Basic,2025-12-24
C0025,57,423.39,US,Pro,2025-01-25
C0026,49,638.69,UK,Basic,2025-02-26
C0027,36,698.4,India,Pro,2025-03-27
C0028,53,154.55,India,Basic,2025-04-01
C0029,31,476.47,US,Basic,2025-05-02
C0030,26,330.86,US,Basic,2025-06-03
C0031,55,250.85,US,Basic,2025-07-04
C0032,29,509.03,US,Basic,2025-08-05
C0033,43,166.93,UK,Basic,2025-09-06
C0034,51,101.95,US,Pro,2025-10-07
C0035,38,683.13,India,Pro,2025-11-08
C0036,28,622.31,UK,Pro,2025-12-09
C0037,54,465.38,India,Basic,2025-01-10
C0038,32,423.63,US,Basic,2025-02-11
C0039,42,393.16,India,Basic,2025-03-12
C0040,41,243.67,India,Pro,2025-04-13
C0041,27,151.39,UK,Basic,2025-05-14
C0042,56,559.5,India,Pro,2025-06-15
C0043,52,668.11,India,Basic,2025-07-16
C0044,55,623.46,UK,Basic,2025-08-17
C0045,56,553.16,US,Basic,2025-09-18
C0046,41,339.4,US,Pro,2025-10-19
C0047,45,362.86,US,Basic,2025-11-20
C0048,29,248.74,India,Basic,2025-12-21
C0049,23,452.99,India,Pro,2025-01-22
C0050,36,104.31,US,Pro,2025-02-23
C0051,25,237.37,India,Basic,2025-03-24
C0052,26,408.49,UK,Pro,2025-04-25
